t0,t1,n,repZ,thickness
8.0,338.0,68,2119.0,0.0
1033.0,1363.0,67,1627.5,6.874146132701253
2093.0,2438.0,70,1885.5,13.60220894441429
3148.0,3558.0,83,1843.5,20.35496189488585
4198.0,4798.0,121,1512.0,27.07479466034604
5358.0,5863.0,102,1446.5,33.79874244893259
6438.0,6958.0,105,1216.5,40.72432637071424
7538.0,8038.0,101,1207.5,47.70340559313943
8593.0,9098.0,102,1089.0,54.61047191085213
9878.0,10490.0,123,1082.0,61.38791500008236
11030.0,11500.0,95,908.5,68.05630997646207
12120.0,12810.0,139,879.85,74.7761427419222
13400.0,13820.0,84,734.9,81.72847431402565
14380.0,14940.0,113,658.6500000000001,88.5038598916926
15550.0,16050.0,102,612.95,95.26895791154351
16600.0,16960.0,73,568.15,102.0340559313943
17540.0,18010.0,96,547.8,108.6304380030616
18550.0,19010.0,92,526.9000000000001,115.4510888351193
19540.0,20220.0,138,495.4,122.2470495284184
20780.0,21130.0,71,470.20000000000005,129.2899116093033
21660.0,22090.0,88,428.15,136.1290800454299
