model,LOOCV_R2,MAE_um,MAE_pct
RandomForest,0.9617976435821365,6.433044066802893,4.7256942195275355
DecisionTree,0.9586873426709287,7.759659918812561,5.700222109943706
GradientBoosting,0.9586841207527411,7.7597173141822235,5.70026427240425
KNN(k=3),0.9525053637780744,7.448387812320464,5.471562585918261
SVR(RBF),0.9254608091116262,6.815058671752157,5.006320963513299
Ridge,0.9093162534506485,10.798976374810374,7.932894552145998
Lasso,0.9093162425915668,10.798976702799589,7.932894793085858
ElasticNet,0.9093162413882638,10.798976729529892,7.932894812721856
LinearRegression,0.9093162399142305,10.798976764044872,7.932894838076453
HistGradientBoosting,-0.10250000000000004,37.39863326365227,27.472920004433547
